Companion Name,Played By
Susan Foreman,Carole Ann Ford
Barbara Wright,Jacqueline Hill
Ian Chesterton,William Russell
Vicki,Maureen O'Brien
Steven Taylor,Peter Purves
Katarina,Adrienne Hill
Sara Kingdom,Jean Marsh
Dodo Chaplet,Jackie Lane
Polly,Anneke Wills
Ben Jackson,Michael Craze
Jamie McCrimmon,Frazer Hines
Victoria Waterfield,Deborah Watling
Zoe Heriot,Wendy Padbury
Brigadier Lethbridge-Stewart,Nicholas Courtney
Liz Shaw,Caroline John
Jo Grant,Katy Manning
Sarah Jane Smith,Elisabeth Sladen
Sergeant John Benton,John Levene
Captain Mike Yates,Richard Franklin
Harry Sullivan,Ian Marter
Leela,Louise Jameson
K-9,John Leeson
Romana I,Mary Tamm
Romana II,Lalla Ward
Adric,Matthew Waterhouse
Nyssa,Sarah Sutton
Tegan Jovanka,Janet Fielding
Vislor Turlough,Mark Strickson
Kamelion,Gerald Flood
Peri Brown,Nicola Bryant
Mel Bush,Bonnie Langford
Ace,Sophie Aldred
Grace Holloway,Daphne Ashbrook
Rose Tyler,Billie Piper
Adam Mitchell,Bruno Langley
Captain Jack Harkness,John Barrowman
Mickey Smith,Noel Clarke
Donna Noble,Catherine Tate
Martha Jones,Freema Agyeman
Astrid Peth,Kylie Minogue
Jackson Lake,David Morrissey
Lady Christina de Souza,Michelle Ryan
Adelaide Brooke,Lindsay Duncan
Wilfred Mott,Bernard Cribbins
Amy Pond,Karen Gillan
Rory Williams,Arthur Darvill
River Song,Alex Kingston
Craig Owens,James Corden
Clara Oswald,Jenna Coleman
Nardole,Matt Lucas
Bill Potts,Pearl Mackie
Graham O'Brien,Bradley Walsh
Ryan Sinclair,Tosin Cole
Yasmin Khan,Mandip Gill
Dan,John Bishop
Oliver Harper,Tom Allen
Anya Kingdom,Jane Slavin
Robert McIntosh,Christian Coulson
Thomas Brewster,John Pickard
Hannah Bartholomew,Francesca Hunt
Erimem,Caroline Morris
Abby,Ciara Janson
Alayna,Lisa Kay
Brooke,Joanna Horton
