EnemyName,Description
Daleks,It landed here way back in the 9th century. After a long; deadly battle; The Dalek was defeated. It’s casing was destroyed; the creature inside was cut into three pieces so it could never reform. Two were successfully transported away and guarded by the order of the custodians. But one piece was left behind. It stayed in Sheffield; where it was found 12 centuries later and was accidentally woken up. You would think a squiddy thing like that couldn’t get far. But turns out it could hitch a ride on humans. It built it’s own casing from spare parts and bits of it’s original outer shell.
Creatures of the Antizone,The Antizone was a bleak; scary place; full of strange; deadly creatures. It landed here way back in the 9th century. After a long; deadly battle; The Dalek was defeated. It’s casing was destroyed; the creature inside was cut into three pieces so it could never reform.
The Postmen,The Postmen worked for a company called Kerblam – the biggest retailer in the galaxy. It picked; packed and delivered anything you could want.
Krasko,Krasko was released from prison and travelled back in time to change the past.
T'zim-Sha,The Stenza are a warrior race and self-proclaimed conquerors of the Nine Systems.
Lord Sutcliffe,Lord Sutcliffe is rich; arrogant; untrustworthy and entitled. Some would say he’s a typical aristocrat. Big house. Huge staff. And a giant sea snake chained to the bottom of the Thames… evil.
The Brains and Harmoney Shoal,Technically a multi-nucleate organism; functioning as an infinitely adaptable; independently functioning; peripatetic central nervous system; each ‘brain’ locked inside the brain vault at the heart of the Harmony Shoal building in New York is a tiny lifeform waiting for a compatible host. The only tell-tale sign that someone has been replaced by one of these brains is a faint scar running diagonally across the face and extremely bloodshot eyes. Sometimes blue liquid (in which the brains are stored) escapes from the host body. These creatures migrate from planet to planet…and now they have set their sights on the Earth.
Bonnie,Leader of the rebel Zygon faction; Bonnie takes Clara’s form in order to infiltrate UNIT and advance the Zygon-rebel plan.
Odin,Leader of the Mire. The holographic face he presents to the Vikings reflects their belief in a god called Odin.
The Eaters of Light,A mythical Pictish Beast; discovered by the Doctor to be all too real…
Hydroflax,A malevolent cyborg known for ending battles by eating his enemies dead or alive. Don’t lose your head!
The Lice,Ever wondered why your floorboards creak as you make your way up to bed? Giant woodlice creatures; with two antennae and large pincers; they are alien insects which secretly inhabit the Earth. They can live inside wood; interacting with it on a cellular level; and inhabit the Landlord's huge wooden house - creaking around the floorboards; walls and furniture; waiting for human prey to suck into the wood with them.
Eliza ,Countless haunted house tales tell the story of a mysterious and spooky individual hiding in the attic; and the Landlord's creepy mansion is no exception. When Shireen and Bill stumble upon Eliza; a young woman formed entirely of wood and infested with woodlice creatures; they are seriously freaked out.
Flemming,A maitre d’ who can make any problem disappear. Even if he has to digest passengers himself.
Missy,The self-confessed ‘Queen of Evil’. Turning good. Maybe. It’s really complicated… Missy is the latest incarnation of one of the Doctor’s oldest friends and quite possibly his most ruthless enemy - the Master. The Doctor was first reunited with this particular ‘version’ of his old 'friend' when Missy allied herself with the Cybermen. She planned to convert the dead of planet Earth; ‘upgrading’ the fallen into a vast army of silver soldiers. But unusually; she planned to give the Doctor this terrifying force; keen to see what he would do with such power. The Doctor shunned the opportunity; however; and Danny Pink was able to lead the ‘new born’ Cybermen; meaning Missy’s scheme was defeated. But Clara wanted revenge on the Time Lady and seemed willing to kill her. The Doctor prevented this; although before we discovered what he himself would do; a solitary Cyberman – a figure which it later transpired could very well have been the Brigadier - appeared to destroy Missy.
Cloister Wraiths,The minds of dead Time Lords uploaded to a living computer. Don’t get filed. Weirdly tall; gliding above the floor in their robes and headdresses with their faces unseen; the Cloister Wraiths were found in the Cloisters; a crypt beneath the capitol of Gallifrey; and were often referred to as ‘Sliders’ by the Time Lords.
The Suits,Congratulations on purchasing your Ganymede Systems series twelve smartsuit. Your life is in our hands! Oxygen is available at competitive prices. Please continue to breathe normally; and have your credit details ready!
The Landlord,The incredible bargain that the strange Landlord offers the house-hunting students seems too good to be true. And; to their horror; it turns out it is.
Friday,Ice Warrior 'Friday' - so called because he reminded Colonel Godsacre and Captain Catchlove of Man Friday in Robinson Crusoe – was found injured and alone in a crashed spaceship on Earth in the 19th century.
Iraxxa,The body of an Ice Queen; but the heart and stomach of a fearsome Ice Warrior!
