Series Number,Episode Number,Episode Type,Title,Episode Date,Author Id,Doctor Id,Notes
1,1,Classic,An Unearthly Child (An Unearthly Child - Part One),23-Nov-63,1,First Doctor,
1,2,Classic,The Cave of Skulls (An Unearthly Child - Part Two),30-Nov-63,1,First Doctor,
1,3,Classic,The Forest of Fear (An Unearthly Child - Part Three),7-Dec-63,1,First Doctor,
1,4,Classic,The Firemaker (An Unearthly Child - Part Four),14-Dec-63,1,First Doctor,
1,5,Classic,The Dead Planet (The Daleks - Part One),21-Dec-63,2,First Doctor,
1,6,Classic,The Survivors (The Daleks - Part Two),28-Dec-63,2,First Doctor,
1,7,Classic,The Escape (The Daleks - Part Three),4-Jan-64,2,First Doctor,
1,8,Classic,The Ambush (The Daleks - Part Four),11-Jan-64,2,First Doctor,
1,9,Classic,The Expedition (The Daleks - Part Five),18-Jan-64,2,First Doctor,
1,10,Classic,The Ordeal (The Daleks - Part Six),25-Jan-64,2,First Doctor,
1,11,Classic,The Rescue (The Daleks - Part Seven),1-Feb-64,2,First Doctor,
1,12,Classic,The Edge of Destruction (The Edge of Destruction - Part One),8-Feb-64,3,First Doctor,
1,13,Classic,The Brink of Disaster (The Edge of Destruction - Part Two),15-Feb-64,3,First Doctor,
1,14,Classic,The Roof of the World (Marco Polo - Part One),22-Feb-64,4,First Doctor,
1,15,Classic,The Singing Sands (Marco Polo - Part Two),29-Feb-64,4,First Doctor,
1,16,Classic,Five Hundred Eyes (Marco Polo - Part Three),7-Mar-64,4,First Doctor,
1,17,Classic,The Wall of Lies (Marco Polo - Part Four),14-Mar-64,4,First Doctor,
1,18,Classic,Rider From Shang-Tu (Marco Polo - Part Five),21-Mar-64,4,First Doctor,
1,19,Classic,Mighty Kublai Khan (Marco Polo - Part Six),28-Mar-64,4,First Doctor,
1,20,Classic,Assassin at Peking (Marco Polo - Part Seven),4-Apr-64,4,First Doctor,
1,21,Classic,The Sea of Death (The Keys of Marinus - Part One),11-Apr-64,2,First Doctor,
1,22,Classic,The Velvet Web (The Keys of Marinus - Part Two),18-Apr-64,2,First Doctor,
1,23,Classic,The Screaming Jungle (The Keys of Marinus - Part Three),25-Apr-64,2,First Doctor,
1,24,Classic,The Snows of Terror (The Keys of Marinus - Part Four),2-May-64,2,First Doctor,
1,25,Classic,Sentence of Death (The Keys of Marinus - Part Five),9-May-64,2,First Doctor,
1,26,Classic,The Keys of Marinus (The Keys of Marinus - Part Six),16-May-64,2,First Doctor,
1,27,Classic,The Temple of Evil (The Aztecs - Part One),23-May-64,4,First Doctor,
1,28,Classic,The Warriors of Death (The Aztecs - Part Two),30-May-64,4,First Doctor,
1,29,Classic,The Bride of Sacrifice (The Aztecs - Part Three),6-Jun-64,4,First Doctor,
1,30,Classic,The Day of Darkness (The Aztecs - Part Four),13-Jun-64,4,First Doctor,
1,31,Classic,Strangers in Space (The Sensorites - Part One),20-Jun-64,5,First Doctor,
1,32,Classic,The Unwilling Warriors (The Sensorites - Part Two),27-Jun-64,5,First Doctor,
1,33,Classic,Hidden Danger (The Sensorites - Part Three),11-Jul-64,5,First Doctor,
1,34,Classic,A Race Against Death (The Sensorites - Part Four),18-Jul-64,5,First Doctor,
1,35,Classic,Kidnap (The Sensorites - Part Five),25-Jul-64,5,First Doctor,
1,36,Classic,A Desperate Venture (The Sensorites - Part Six),1-Aug-64,5,First Doctor,
1,37,Classic,A Land of Fear (The Reign of Terror - Part One),8-Aug-64,6,First Doctor,
1,38,Classic,Guests of Madame Guillotine (The Reign of Terror - Part Two),15-Aug-64,6,First Doctor,
1,39,Classic,A Change of Identity (The Reign of Terror - Part Three),22-Aug-64,6,First Doctor,
1,40,Classic,The Tyrant of France (The Reign of Terror - Part Four),29-Aug-64,6,First Doctor,
1,41,Classic,A Bargain of Necessity (The Reign of Terror - Part Five),5-Sep-64,6,First Doctor,
1,42,Classic,Prisoners of Conciergerie (The Reign of Terror - Part Six),12-Sep-64,6,First Doctor,
2,1,Classic,Planet of Giants (Planet of Giants - Part One),31-Oct-64,7,First Doctor,
2,2,Classic,Dangerous Journey (Planet of Giants - Part Two),7-Nov-64,7,First Doctor,
2,3,Classic,Crisis (Planet of Giants - Part Three),14-Nov-64,7,First Doctor,
2,4,Classic,World's End (The Dalek Invasion of Earth - Part One),21-Nov-64,2,First Doctor,
2,5,Classic,The Daleks (The Dalek Invasion of Earth - Part Two),28-Nov-64,2,First Doctor,
2,6,Classic,Day of Reckoning (The Dalek Invasion of Earth - Part Three),5-Dec-64,2,First Doctor,
2,7,Classic,The End of Tomorrow (The Dalek Invasion of Earth - Part Four),12-Dec-64,2,First Doctor,
2,8,Classic,The Waking Ally (The Dalek Invasion of Earth - Part Five),19-Dec-64,2,First Doctor,
2,9,Classic,Flashpoint (The Dalek Invasion of Earth - Part Six),26-Dec-64,2,First Doctor,
2,10,Classic,The Powerful Enemy (The Rescue - Part One),2-Jan-65,3,First Doctor,
2,11,Classic,Desperate Measures (The Rescue - Part Two),9-Jan-65,3,First Doctor,
2,12,Classic,The Slave Traders (The Romans - Part One),16-Jan-65,6,First Doctor,
2,13,Classic,All Roads Lead to Rome (The Romans - Part Two),23-Jan-65,6,First Doctor,
2,14,Classic,Conspiracy (The Romans - Part Three),30-Jan-65,6,First Doctor,
2,15,Classic,Inferno (The Romans - Part Four),6-Feb-65,6,First Doctor,
2,16,Classic,The Web Planet (The Web Planet - Part One),13-Feb-65,8,First Doctor,
2,17,Classic,The Zarbi (The Web Planet - Part Two),20-Feb-65,8,First Doctor,
2,18,Classic,Escape to Danger (The Web Planet - Part Three),27-Feb-65,8,First Doctor,
2,19,Classic,Crater of Needles (The Web Planet - Part Four),6-Mar-65,8,First Doctor,
2,20,Classic,Invasion (The Web Planet - Part Five),13-Mar-65,8,First Doctor,
2,21,Classic,The Centre (The Web Planet - Part Six),20-Mar-65,8,First Doctor,
2,22,Classic,The Lion (The Crusade - Part One),27-Mar-65,3,First Doctor,
2,23,Classic,The Knight of Jaffa (The Crusade - Part Two),3-Apr-65,3,First Doctor,
2,24,Classic,The Wheel of Fortune (The Crusade - Part Three),10-Apr-65,3,First Doctor,
2,25,Classic,The Warlords (The Crusade - Part Four),17-Apr-65,3,First Doctor,
2,26,Classic,The Space Museum (The Space Museum - Part One),24-Apr-65,9,First Doctor,
2,27,Classic,The Dimensions of Time (The Space Museum - Part Two),1-May-65,9,First Doctor,
2,28,Classic,The Search (The Space Museum - Part Three),8-May-65,9,First Doctor,
2,29,Classic,The Final Phase (The Space Museum - Part Four),15-May-65,9,First Doctor,
2,30,Classic,The Executioners (The Chase - Part One),22-May-65,2,First Doctor,
2,31,Classic,The Death of Time (The Chase - Part Two),29-May-65,2,First Doctor,
2,32,Classic,Flight through Eternity (The Chase - Part Three),5-Jun-65,2,First Doctor,
2,33,Classic,Journey into Terror (The Chase - Part Four),12-Jun-65,2,First Doctor,
2,34,Classic,The Death of Doctor Who (The Chase - Part Five),19-Jun-65,2,First Doctor,
2,35,Classic,The Planet of Decision (The Chase - Part Six),26-Jun-65,2,First Doctor,
2,36,Classic,The Watcher (The Time Meddler - Part One),3-Jul-65,6,First Doctor,
2,37,Classic,The Meddling Monk (The Time Meddler - Part Two),10-Jul-65,6,First Doctor,
2,38,Classic,A Battle of Wits (The Time Meddler - Part Three),17-Jul-65,6,First Doctor,
2,39,Classic,Checkmate (The Time Meddler - Part Four),24-Jul-65,6,First Doctor,
3,1,Classic,Four Hundred Dawns (Galaxy 4 - Part One),11-Sep-65,10,First Doctor,
3,2,Classic,Trap of Steel (Galaxy 4 - Part Two),18-Sep-65,10,First Doctor,
3,3,Classic,Air Lock (Galaxy 4 - Part Three),25-Sep-65,10,First Doctor,
3,4,Classic,The Exploding Planet (Galaxy 4 - Part Four),2-Oct-65,10,First Doctor,
3,5,Classic,Mission to the Unknown,9-Oct-65,2,First Doctor,
3,6,Classic,Temple of Secrets (The Myth Makers - Part One),16-Oct-65,11,First Doctor,
3,7,Classic,Small Prophet - Quick Return (The Myth Makers - Part Two),23-Oct-65,11,First Doctor,
3,8,Classic,Death of a Spy (The Myth Makers - Part Three),30-Oct-65,11,First Doctor,
3,9,Classic,Horse of Destruction (The Myth Makers - Part Four),6-Nov-65,11,First Doctor,
3,10,Classic,The Nightmare Begins (The Daleks' Master Plan - Part One),13-Nov-65,2,First Doctor,
3,11,Classic,Day of Armageddon (The Daleks' Master Plan - Part Two),20-Nov-65,2,First Doctor,
3,12,Classic,Devil's Planet (The Daleks' Master Plan - Part Three),27-Nov-65,2,First Doctor,
3,13,Classic,The Traitors (The Daleks' Master Plan - Part Four),4-Dec-65,2,First Doctor,
3,14,Classic,Counter Plot (The Daleks' Master Plan - Part Five),11-Dec-65,2,First Doctor,
3,15,Classic,Coronas of the Sun (The Daleks' Master Plan - Part Six),18-Dec-65,6,First Doctor,
3,16,Classic,The Feast of Steven (The Daleks' Master Plan - Part Seven),25-Dec-65,2,First Doctor,
3,17,Classic,Volcano (The Daleks' Master Plan - Part Eight),1-Jan-66,6,First Doctor,
3,18,Classic,Golden Death (The Daleks' Master Plan - Part Nine),8-Jan-66,6,First Doctor,
3,19,Classic,Escape Switch (The Daleks' Master Plan - Part Ten),15-Jan-66,6,First Doctor,
3,20,Classic,The Abandoned Planet (The Daleks' Master Plan - Part Eleven),22-Jan-66,6,First Doctor,
3,21,Classic,Destruction of Time (The Daleks' Master Plan - Part Twelve),29-Jan-66,6,First Doctor,
3,22,Classic,War of God (The Massacre of St Bartholomew's Eve - Part One),5-Feb-66,4,First Doctor,
3,23,Classic,The Sea Beggar (The Massacre of St Bartholomew's Eve - Part Two),12-Feb-66,4,First Doctor,
3,24,Classic,Priest of Death (The Massacre of St Bartholomew's Eve - Part Three),19-Feb-66,4,First Doctor,
3,25,Classic,Bell of Doom (The Massacre of St Bartholomew's Eve - Part Four),26-Feb-66,4,First Doctor,
3,26,Classic,The Steel Sky (The Ark - Part One),5-Mar-66,12,First Doctor,
3,27,Classic,The Plague (The Ark - Part Two),12-Mar-66,12,First Doctor,
3,28,Classic,The Return (The Ark - Part Three),19-Mar-66,13,First Doctor,
3,29,Classic,The Bomb (The Ark - Part Four),26-Mar-66,13,First Doctor,
3,30,Classic,The Celestial Toyroom (The Celestial Toymaker - Part One),2-Apr-66,14,First Doctor,
3,31,Classic,The Hall of Dolls (The Celestial Toymaker - Part Two),9-Apr-66,14,First Doctor,
3,32,Classic,The Dancing Floor (The Celestial Toymaker - Part Three),16-Apr-66,14,First Doctor,
3,33,Classic,The Final Test (The Celestial Toymaker - Part Four),23-Apr-66,14,First Doctor,
3,34,Classic,A Holiday for the Doctor (The Gunfighters - Part One),30-Apr-66,11,First Doctor,
3,35,Classic,Don't Shoot the Pianist (The Gunfighters - Part Two),7-May-66,11,First Doctor,
3,36,Classic,Johnny Ringo (The Gunfighters - Part Three),14-May-66,11,First Doctor,
3,37,Classic,The O.K. Corral (The Gunfighters - Part Four),21-May-66,11,First Doctor,
3,38,Classic,The Savages - Part One,28-May-66,16,First Doctor,
3,39,Classic,The Savages - Part Two,4-Jun-66,16,First Doctor,
3,40,Classic,The Savages - Part Three,11-Jun-66,16,First Doctor,
3,41,Classic,The Savages - Part Four,18-Jun-66,16,First Doctor,
3,42,Classic,The War Machines - Part One,25-Jun-66,16,First Doctor,
3,43,Classic,The War Machines - Part Two,2-Jul-66,16,First Doctor,
3,44,Classic,The War Machines - Part Three,9-Jul-66,16,First Doctor,
3,45,Classic,The War Machines - Part Four,16-Jul-66,16,First Doctor,
4,1,Classic,The Smugglers - Part One,10-Sep-66,14,First Doctor,
4,2,Classic,The Smugglers - Part Two,17-Sep-66,14,First Doctor,
4,3,Classic,The Smugglers - Part Three,24-Sep-66,14,First Doctor,
4,4,Classic,The Smugglers - Part Four,1-Oct-66,14,First Doctor,
4,5,Classic,The Tenth Planet - Part One,8-Oct-66,18,First Doctor,
4,6,Classic,The Tenth Planet - Part Two,15-Oct-66,18,First Doctor,
4,7,Classic,The Tenth Planet - Part Three,22-Oct-66,18,First Doctor,
4,8,Classic,The Tenth Planet - Part Four,29-Oct-66,18,First Doctor,
4,9,Classic,The Power of the Daleks - Part One,5-Nov-66,3,Second Doctor,
4,10,Classic,The Power of the Daleks - Part Two,12-Nov-66,3,Second Doctor,
4,11,Classic,The Power of the Daleks - Part Three,19-Nov-66,3,Second Doctor,
4,12,Classic,The Power of the Daleks - Part Four,26-Nov-66,3,Second Doctor,
4,13,Classic,The Power of the Daleks - Part Five,3-Dec-66,3,Second Doctor,
